community_label,boardgame_id,boardgame_title
93,[93],['El Grande']
521,[521],['Crokinole']
2651,[2651],['Power Grid']
3076,[3076],['Puerto Rico']
18602,[18602],['Caylus']
25613,[25613],['Through the Ages: A Story of Civilization']
28143,[28143],['Race for the Galaxy']
31260,[31260],['Agricola']
35677,[35677],['Le Havre']
37111,[37111],['Battlestar Galactica: The Board Game']
40834,[40834],['Dominion: Intrigue']
62219,[62219],['Dominant Species']
68448,[68448],['7 Wonders']
72125,[72125],['Eclipse']
73439,[73439],['Troyes']
102794,[102794],['Caverna: The Cave Farmers']
110327,[110327],['Lords of Waterdeep']
121921,[121921],['Robinson Crusoe: Adventures on the Cursed Island']
122515,[122515],['Keyflower']
124742,[124742],['Android: Netrunner']
126163,[126163],"[""Tzolk'in: The Mayan Calendar""]"
146021,[146021],['Eldritch Horror']
157354,[157354],['Five Tribes']
162886,"[324856, 125153, 184267, 285774, 159675, 177736, 205637, 120677, 220308, 192135, 312484, 237182, 291457, 115746, 342942, 284378, 251247, 174430, 199792, 84876, 167791, 161936, 173346, 221107, 167355, 183394, 247763, 246900, 164928, 161533, 162886, 169786, 182028, 341169, 185343, 224517, 233078, 264220, 96848, 266507, 255984, 28720, 124361, 231733, 193738, 12333, 316554, 276025, 314040, 266192, 253344, 187645, 55690, 175914, 256960]","['The Crew: Mission Deep Sea', 'The Gallerist', 'On Mars', 'Marvel Champions: The Card Game', 'Fields of Arle', 'A Feast for Odin', 'Arkham Horror: The Card Game', 'Terra Mystica', 'Gaia Project', 'Too Many Bones', 'Lost Ruins of Arnak', 'Root', 'Gloomhaven: Jaws of the Lion', 'War of the Ring: Second Edition', 'Ark Nova', 'Kanban EV', 'Barrage', 'Gloomhaven', 'Everdell', 'The Castles of Burgundy', 'Terraforming Mars', 'Pandemic Legacy: Season 1', '7 Wonders Duel', 'Pandemic Legacy: Season 2', 'Nemesis', 'Viticulture Essential Edition', 'Underwater Cities', 'Eclipse: Second Dawn for the Galaxy', 'Orléans', 'Lisboa', 'Spirit Island', 'Scythe', 'Through the Ages: A New Story of Civilization', 'Great Western Trail (Second Edition)', 'Anachrony', 'Brass: Birmingham', 'Twilight Imperium: Fourth Edition', 'Tainted Grail: The Fall of Avalon', 'Mage Knight Board Game', 'Clank!: Legacy – Acquisitions Incorporated', 'Sleeping Gods', 'Brass: Lancashire', 'Concordia', 'Obsession', 'Great Western Trail', 'Twilight Struggle', 'Dune: Imperium', 'Maracaibo', 'Pandemic Legacy: Season 0', 'Wingspan', 'Cthulhu: Death May Die', 'Star Wars: Rebellion', 'Kingdom Death: Monster', 'Food Chain Magnate', 'Pax Pamir: Second Edition']"
164153,[164153],['Star Wars: Imperial Assault']
170042,[170042],['Raiders of the North Sea']
170216,[170216],['Blood Rage']
171623,[171623],['The Voyages of Marco Polo']
172386,[172386],['Mombasa']
180263,[180263],['The 7th Continent']
182874,[182874],['Grand Austria Hotel']
191189,[191189],"[""Aeon's End""]"
200680,[200680],['Agricola (Revised Edition)']
201808,[201808],['Clank!: A Deck-Building Adventure']
205059,[205059],['Mansions of Madness: Second Edition']
209010,[209010],['Mechs vs. Minions']
216132,[216132],['Clans of Caledonia']
229853,[229853],['Teotihuacan: City of Gods']
230802,[230802],['Azul']
236457,[236457],['Architects of the West Kingdom']
244521,[244521],['The Quacks of Quedlinburg']
266810,[266810],['Paladins of the West Kingdom']
269385,[269385],['The Lord of the Rings: Journeys in Middle-Earth']
284083,[284083],['The Crew: The Quest for Planet Nine']
295947,[295947],['Cascadia']
317985,[317985],['Beyond the Sun']
