nodeId,title,rating,num_reviews
174430,Gloomhaven,8.67527,
224517,Brass: Birmingham,8.65313,
161936,Pandemic Legacy: Season 1,8.56688,
342942,Ark Nova,8.56684,
233078,Twilight Imperium: Fourth Edition,8.6449,
167791,Terraforming Mars,8.39103,
291457,Gloomhaven: Jaws of the Lion,8.55175,
187645,Star Wars: Rebellion,8.41817,
115746,War of the Ring: Second Edition,8.52576,
162886,Spirit Island,8.36924,
220308,Gaia Project,8.42974,
316554,Dune: Imperium,8.36497,
182028,Through the Ages: A New Story of Civilization,8.3355,
12333,Twilight Struggle,8.26264,
193738,Great Western Trail,8.25687,
169786,Scythe,8.1865,
84876,The Castles of Burgundy,8.12806,
167355,Nemesis,8.33096,
173346,7 Wonders Duel,8.0984,
28720,Brass: Lancashire,8.18934,
124361,Concordia,8.11031,
177736,A Feast for Odin,8.18794,
246900,Eclipse: Second Dawn for the Galaxy,8.55169,
120677,Terra Mystica,8.09724,
266192,Wingspan,8.08126,
266507,Clank!: Legacy – Acquisitions Incorporated,8.61029,
205637,Arkham Horror: The Card Game,8.14743,
237182,Root,8.09206,
312484,Lost Ruins of Arnak,8.09201,
164928,Orléans,8.06819,
199792,Everdell,8.07132,
183394,Viticulture Essential Edition,8.02556,
96848,Mage Knight Board Game,8.09071,
251247,Barrage,8.20379,
175914,Food Chain Magnate,8.09416,
285774,Marvel Champions: The Card Game,8.16512,
192135,Too Many Bones,8.38036,
324856,The Crew: Mission Deep Sea,8.29454,
3076,Puerto Rico,7.94204,
102794,Caverna: The Cave Farmers,7.97952,
256960,Pax Pamir: Second Edition,8.28948,
170216,Blood Rage,7.96666,
31260,Agricola,7.90258,
247763,Underwater Cities,8.0823,
185343,Anachrony,8.10651,
221107,Pandemic Legacy: Season 2,8.06651,
205059,Mansions of Madness: Second Edition,7.98548,
276025,Maracaibo,8.10164,
184267,On Mars,8.22587,
295947,Cascadia,7.9999,
341169,Great Western Trail (Second Edition),8.47856,
284083,The Crew: The Quest for Planet Nine,7.88445,
126163,Tzolk'in: The Mayan Calendar,7.87692,
2651,Power Grid,7.8286,
314040,Pandemic Legacy: Season 0,8.49823,
521,Crokinole,7.98446,
161533,Lisboa,8.19482,
216132,Clans of Caledonia,7.96053,
164153,Star Wars: Imperial Assault,7.98267,
35677,Le Havre,7.8579,
55690,Kingdom Death: Monster,8.54259,
244521,The Quacks of Quedlinburg,7.84448,
209010,Mechs vs. Minions,7.9932,
125153,The Gallerist,8.04054,
266810,Paladins of the West Kingdom,8.0077,
284378,Kanban EV,8.49205,
124742,Android: Netrunner,7.87594,
230802,Azul,7.76935,
255984,Sleeping Gods,8.39057,
72125,Eclipse,7.85414,
191189,Aeon's End,7.95447,
28143,Race for the Galaxy,7.75314,
201808,Clank!: A Deck-Building Adventure,7.80352,
182874,Grand Austria Hotel,7.90769,
25613,Through the Ages: A Story of Civilization,7.87635,
157354,Five Tribes,7.78039,
200680,Agricola (Revised Edition),7.97579,
159675,Fields of Arle,8.05198,
180263,The 7th Continent,7.93234,
229853,Teotihuacan: City of Gods,7.89443,
121921,Robinson Crusoe: Adventures on the Cursed Island,7.78459,
171623,The Voyages of Marco Polo,7.81112,
110327,Lords of Waterdeep,7.74169,
68448,7 Wonders,7.70916,
62219,Dominant Species,7.82106,
264220,Tainted Grail: The Fall of Avalon,8.17131,
253344,Cthulhu: Death May Die,8.16256,
236457,Architects of the West Kingdom,7.776,
93,El Grande,7.73942,
317985,Beyond the Sun,7.97245,
122515,Keyflower,7.75168,
37111,Battlestar Galactica: The Board Game,7.73341,
18602,Caylus,7.73649,
231733,Obsession,8.24248,
172386,Mombasa,7.86546,
40834,Dominion: Intrigue,7.69721,
170042,Raiders of the North Sea,7.75361,
73439,Troyes,7.72926,
269385,The Lord of the Rings: Journeys in Middle-Earth,7.95809,
146021,Eldritch Horror,7.76522,
