boardgame_id,boardgame_title,community_label
146021,Eldritch Horror,146021
269385,The Lord of the Rings: Journeys in Middle-Earth,269385
73439,Troyes,73439
324856,The Crew: Mission Deep Sea,162886
125153,The Gallerist,162886
184267,On Mars,162886
285774,Marvel Champions: The Card Game,162886
159675,Fields of Arle,162886
25613,Through the Ages: A Story of Civilization,25613
102794,Caverna: The Cave Farmers,102794
177736,A Feast for Odin,162886
205637,Arkham Horror: The Card Game,162886
110327,Lords of Waterdeep,110327
120677,Terra Mystica,162886
220308,Gaia Project,162886
192135,Too Many Bones,162886
121921,Robinson Crusoe: Adventures on the Cursed Island,121921
312484,Lost Ruins of Arnak,162886
237182,Root,162886
205059,Mansions of Madness: Second Edition,205059
126163,Tzolk'in: The Mayan Calendar,126163
191189,Aeon's End,191189
291457,Gloomhaven: Jaws of the Lion,162886
122515,Keyflower,122515
115746,War of the Ring: Second Edition,162886
342942,Ark Nova,162886
182874,Grand Austria Hotel,182874
200680,Agricola (Revised Edition),200680
164153,Star Wars: Imperial Assault,164153
284378,Kanban EV,162886
236457,Architects of the West Kingdom,236457
251247,Barrage,162886
174430,Gloomhaven,162886
199792,Everdell,162886
229853,Teotihuacan: City of Gods,229853
84876,The Castles of Burgundy,162886
167791,Terraforming Mars,162886
171623,The Voyages of Marco Polo,171623
93,El Grande,93
62219,Dominant Species,62219
40834,Dominion: Intrigue,40834
161936,Pandemic Legacy: Season 1,162886
173346,7 Wonders Duel,162886
221107,Pandemic Legacy: Season 2,162886
28143,Race for the Galaxy,28143
172386,Mombasa,172386
167355,Nemesis,162886
183394,Viticulture Essential Edition,162886
247763,Underwater Cities,162886
246900,Eclipse: Second Dawn for the Galaxy,162886
164928,Orléans,162886
161533,Lisboa,162886
230802,Azul,230802
162886,Spirit Island,162886
317985,Beyond the Sun,317985
169786,Scythe,162886
182028,Through the Ages: A New Story of Civilization,162886
341169,Great Western Trail (Second Edition),162886
209010,Mechs vs. Minions,209010
201808,Clank!: A Deck-Building Adventure,201808
185343,Anachrony,162886
224517,Brass: Birmingham,162886
180263,The 7th Continent,180263
2651,Power Grid,2651
233078,Twilight Imperium: Fourth Edition,162886
72125,Eclipse,72125
35677,Le Havre,35677
264220,Tainted Grail: The Fall of Avalon,162886
96848,Mage Knight Board Game,162886
266507,Clank!: Legacy – Acquisitions Incorporated,162886
255984,Sleeping Gods,162886
157354,Five Tribes,157354
28720,Brass: Lancashire,162886
3076,Puerto Rico,3076
216132,Clans of Caledonia,216132
68448,7 Wonders,68448
37111,Battlestar Galactica: The Board Game,37111
124361,Concordia,162886
18602,Caylus,18602
231733,Obsession,162886
244521,The Quacks of Quedlinburg,244521
193738,Great Western Trail,162886
12333,Twilight Struggle,162886
266810,Paladins of the West Kingdom,266810
521,Crokinole,521
295947,Cascadia,295947
316554,Dune: Imperium,162886
170216,Blood Rage,170216
276025,Maracaibo,162886
314040,Pandemic Legacy: Season 0,162886
266192,Wingspan,162886
253344,Cthulhu: Death May Die,162886
124742,Android: Netrunner,124742
187645,Star Wars: Rebellion,162886
31260,Agricola,31260
55690,Kingdom Death: Monster,162886
284083,The Crew: The Quest for Planet Nine,284083
170042,Raiders of the North Sea,170042
175914,Food Chain Magnate,162886
256960,Pax Pamir: Second Edition,162886
